Name,Latitude,Longitude,Votes,Rating
Chipotle Mexican Grill,29.818929942587,-95.4668862063665,13.0,4.0
La Victoria Bakery,29.71711,-95.2925999,22.0,3.0
Tortilleria La Milpa,29.7713575451658,-95.2478143572807,3.0,4.0
Taco Cabana,29.692489,-95.415362,119.0,2.5
Taqueria La Heroica,29.71661,-95.25968,4.0,4.5
Taqueria Doña Juanita,29.7661399841309,-95.3648834228516,1.0,5.0
El Mariachi,29.858567,-95.472837,5.0,2.5
Taqueria Y Paneria Morelos,29.7014274597168,-95.3037948608398,1.0,5.0
Garay Mexican Grill,29.84706,-95.38498,24.0,2.0
Taqueria La Fuente,29.85116,-95.3627,2.0,4.0
Indio's Mexican Restraunt,29.85326,-95.339363,12.0,2.5
Luchi & Joey's Food Truck,29.7577445,-95.3649578,13.0,3.5
Taqueria El Nopalito,29.670044,-95.258362,1.0,5.0
Taqueria El Pachis,29.7652721405029,-95.3657684326172,1.0,5.0
Taco Cabana,29.813184,-95.410346,72.0,2.5
Taqueria Durango,29.8123895178286,-95.4104565708238,5.0,4.5
El Ranchero Mexican Restaurant & Cantina,29.6783403057212,-95.4772424697876,4.0,4.0
What a Taco,29.74288,-95.38891,10.0,3.0
Taqueria Los Magueyes,29.845779,-95.401938,1.0,3.0
La India Bakery,29.77926,-95.41986,15.0,4.0
El Huizache Taco,29.813896,-95.45884,1.0,5.0
Ruchis Taqueria El Rincon De Mexico,29.703977,-95.296368,7.0,2.0
"Pollos Asados ""El Huasteco""",29.867974,-95.384333,1.0,5.0
Rey Del Pollo,29.6767411417411,-95.291179757018,1.0,4.0
Taqueria Don Tin,29.8462049,-95.3627698,2.0,4.0
Taqueria Mi Leo,29.8324352297558,-95.450034474413,5.0,4.5
Perico's,29.8119945526123,-95.459602355957,64.0,3.0
Taqueria el Taconazo Long Point,29.8029656517537,-95.4824640601873,9.0,3.5
Taco Stop,29.79937,-95.41194,2.0,3.0
Los 3 Guerreros,29.7168,-95.29664,1.0,4.0
Taqueria Mi Illusion,29.7102130204439,-95.476239323616,5.0,4.0
El Kiosko,29.729722,-95.310352,3.0,3.5
Sabor Latino Taqueria,29.8637791,-95.4128265,1.0,5.0
Taqueria El Jalisco,29.7087039,-95.4761145,7.0,3.0
Taqueria Roxana,29.7785650938749,-95.4095683246851,8.0,4.5
Naomi's Tacos,29.685359,-95.2797178,11.0,3.5
Taqueria El Alteno # 6,29.76272,-95.28439,3.0,3.0
Taconmadre,29.6744,-95.27037,6.0,3.5
Taqueria Las Dos Amigas,29.6789449,-95.3170274,1.0,5.0
Pollos Asados Delmitas,29.763056,-95.363056,5.0,4.0
Eado food and drink,29.7518616766831,-95.3546859696507,3.0,1.0
Ninfa's Express,29.76035,-95.36416,18.0,2.0
Chipotle Mexican Grill,29.812037,-95.422215,72.0,2.5
Tacos Tremendos,29.815062,-95.361511,2.0,3.0
Taqueria Los Jaliscienses,29.8588943481445,-95.3850173950195,4.0,1.5
Taquerias Arandas,29.8512306,-95.3833618,14.0,2.5
Jack in the Box,29.7555769648168,-95.335396528244,21.0,1.5
Refresqueria Rio Azul,29.6862314066395,-95.2968869960996,8.0,3.0
Mi Cosina Mexicana,29.7452969,-95.300456,2.0,2.5
Taqueria,29.75851,-95.39753,1.0,1.0
BullChicks Express,29.74303,-95.32511,1.0,5.0
Jack in the Box,29.7700729370117,-95.4097595214844,46.0,2.0
Taco Bell,29.814434,-95.429147,26.0,3.0
