Name,Latitude,Longitude,Votes,Rating,Type,City
Taverna Di Bacco,40.72191,-73.98768,263,4.0,italian,ny
Bar Tano,40.6712112426758,-73.9909439086914,230,4.0,italian,ny
Bleecker Street Pizza,40.7320627016512,-74.0036552270137,2272,4.0,italian,ny
Sofia Wine Bar,40.75502,-73.96913,639,4.0,italian,ny
Sirenetta,40.78881,-73.97459,283,4.0,italian,ny
Frost Restaurant,40.7183867,-73.9434906,154,4.0,italian,ny
Broccolino,40.6819311529398,-73.9762727916241,257,3.5,italian,ny
Cardoncello DiVino,40.74519,-73.98985,87,4.5,italian,ny
Tuscany Steakhouse,40.76546,-73.97724,112,4.5,italian,ny
Giovanni's Brooklyn Eats,40.6601105,-73.9835205,434,4.0,italian,ny
Houdini Kitchen Laboratory,40.694148,-73.902337,294,4.0,italian,ny
Estancia 460,40.72379,-74.0097399,124,3.5,italian,ny
Motorino,40.710559,-73.963462,241,3.5,italian,ny
Monte's Trattoria,40.72959,-74.0011,343,4.0,italian,ny
Table 87 - Brooklyn Heights,40.691219329834,-73.9973449707031,262,4.5,italian,ny
La Masseria,40.760868632784,-73.986348802868,585,4.0,italian,ny
Piz-zetta,40.6912834070746,-73.9906029201042,275,4.5,italian,ny
Lavagna,40.72406,-73.98226,374,4.0,italian,ny
Arco Cafe,40.7988462,-73.967065,259,4.5,italian,ny
Masseria Dei Vini,40.7684,-73.98558,430,4.0,italian,ny
Mama Capri,40.68332,-73.99264,19,4.5,italian,ny
Angelo's Coal Oven Pizzeria,40.76492,-73.97794,844,4.0,italian,ny
Baci & Abbracci,40.7139015197754,-73.96044921875,296,4.0,italian,ny
Scampi,40.73902,-73.99358,216,4.0,italian,ny
Ferdinando's Focacceria,40.6841934772249,-74.0018677711487,185,4.0,italian,ny
Felidia,40.76036,-73.96512,545,4.0,italian,ny
Gottino,40.7358,-74.00036,294,4.0,italian,ny
Monte's,40.6775499,-73.98724,139,4.0,italian,ny
Sam's Place,40.749270880468,-73.977082744053,235,4.0,italian,ny
Joe & Pat's Pizzeria,40.72892,-73.98411,153,4.0,italian,ny
Baker & Co,40.7313423,-74.0028996,613,4.0,italian,ny
Union Pizza Works,40.7073067,-73.922154,238,4.0,italian,ny
Chazz Palminteri Italian Restaurant,40.756473,-73.980563,240,4.0,italian,ny
Davio's Northern Italian Steakhouse,40.75304,-73.97472,284,4.0,italian,ny
Piccola Cucina Estiatorio,40.7246,-74.0029799,68,4.0,italian,ny
Altesi Downtown,40.72511,-74.00333,60,4.0,italian,ny
Il Mulino New York - Downtown,40.729807,-73.999159,536,4.0,italian,ny
Grazie,40.77948,-73.9601,438,4.0,italian,ny
Tramonti La Pizza,40.72667,-73.9836,121,4.5,italian,ny
Bistango,40.75628,-73.97144,261,4.0,italian,ny
marcellino tratoria & pizzeria,40.72066,-73.99666,39,4.0,italian,ny
Dino,40.68941,-73.97047,274,3.5,italian,ny
Cacio E Pepe,40.7307352,-73.9862681,502,3.5,italian,ny
Stella 34 Trattoria,40.7503815541938,-73.9883,659,3.5,italian,ny
Gastroteca,40.7587532028653,-73.925540484488,744,4.0,italian,ny
Piccolo Angolo Restaurant,40.7378601855952,-74.0058052539825,541,4.0,italian,ny
Gnocco,40.72713,-73.9802799,449,4.0,italian,ny
Cibo E Vino,40.790206,-73.9749174,309,4.0,italian,ny
Battello,40.725357,-74.032278,501,3.5,italian,ny
Il Mattone,40.720799,-74.0091255,77,4.5,italian,ny
Il Posto Accanto,40.72238,-73.98403,210,4.5,italian,ny
Gran Tivoli,40.72104,-73.99783,47,4.0,italian,ny
Piccola Strada,40.72662,-73.99019,178,4.5,italian,ny
Da Francesco,40.718334,-73.944686,115,4.0,italian,ny
Volare Restaurant,40.7315434396639,-74.0006124973297,134,4.5,italian,ny
The Meatball Shop,40.771569,-73.9559804,687,3.5,italian,ny
Il Tinello Ristorante Italiano,40.76256,-73.97566,266,4.5,italian,ny
Faicco's Italian Specialties,40.73113,-74.00306,500,4.5,italian,ny
Lido,40.8049797781916,-73.9548260014624,950,4.0,italian,ny
Vinny's of Carroll Gardens,40.682103,-73.993438,208,4.0,italian,ny
Lasagna Chelsea Restaurant,40.7432418,-73.9996916,497,3.5,italian,ny
Bice Cucina,40.7624702435463,-73.9768997892404,43,4.5,italian,ny
Brunetti Pizza,40.73829,-74.0054,279,4.0,italian,ny
Bevacco,40.6992863863707,-73.9921883493662,234,3.5,italian,ny
Roey's,40.73596,-74.00093,63,4.0,italian,ny
Da Nonna Rosa,40.67291,-73.97697,333,4.0,italian,ny
Testo,40.708324,-73.946988,186,4.5,italian,ny
Feroce Ristorante,40.74634,-73.99096,64,4.0,italian,ny
Da Nico Ristorante,40.719685,-73.997062,738,3.5,italian,ny
Patsy's Italian Restaurant,40.76553,-73.98274,881,4.0,italian,ny
Malaparte,40.73687,-74.00812,305,4.0,italian,ny
Piccoli Trattoria,40.6650986895797,-73.9864727962952,462,4.5,italian,ny
Aria Wine Bar,40.73512,-74.00671,660,3.5,italian,ny
King,40.7275,-74.00346,155,3.5,italian,ny
Birreria,40.74197,-73.9895,1404,3.0,italian,ny
Patsy's Pizzeria,40.797157,-73.93488,816,4.0,italian,ny
San Matteo Pizzeria e Cucina,40.7746799,-73.95443,269,3.5,italian,ny
Celeste,40.78666,-73.97599,885,3.5,italian,ny
Sole di Capri,40.71511,-74.00758,242,4.0,italian,ny
Eataly NYC Downtown,40.709716,-74.011714,928,3.5,italian,ny
Enoteca Maria,40.642,-74.07729,382,4.0,italian,ny
Ogliastro,40.674397,-73.963448,180,4.0,italian,ny
Bottino,40.74845,-74.00321,279,3.5,italian,ny
Charlie Bird,40.72781,-74.002861,446,3.5,italian,ny
Denino's Greenwich Village,40.7294,-74.00111,192,4.0,italian,ny
Table 87 - Gowanus,40.670664,-73.991371,305,4.0,italian,ny
Lena's Italian Kitchen,40.742664,-73.977783,134,4.0,italian,ny
MAMA'S TOO!,40.80084,-73.96766,295,3.5,italian,ny
Gradisca,40.73709,-73.99863,371,4.0,italian,ny
Otto Enoteca Pizzeria,40.7320605431463,-73.996197909787,2105,3.5,italian,ny
Keste,40.73154,-74.00293,1385,4.0,italian,ny
Aria Wine Bar,40.76413,-73.98826,392,3.5,italian,ny
Fiat Cafe,40.721433,-73.995689,568,4.0,italian,ny
Piccante,40.63319,-74.02742,158,4.5,italian,ny
Vapiano,40.7343869142235,-73.9921539848726,1202,3.5,italian,ny
Il Bambino,40.76281,-73.92089,1212,4.5,italian,ny
Bocce USQ,40.7367183711943,-73.9905564301636,89,4.0,italian,ny
Cielo Italian Restaurant,40.76128,-73.9859,439,4.0,italian,ny
Emilio's Ballato,40.7244923,-73.9944022,326,4.0,italian,ny
Caffe Buon Gusto,40.6945304,-73.9940702,192,3.5,italian,ny
Cremini's,40.674968,-73.999242,8,5.0,italian,ny
Saluggi's East,40.71601,-73.9875,80,4.0,italian,ny
Bellini Seaport,40.7078464889202,-74.0013289824128,23,4.0,italian,ny
Call Me Pasta!,40.7075415029414,-74.0053744241595,31,4.0,italian,ny
Petaluma,40.7682492,-73.9553474,238,3.5,italian,ny
Baci Ristorante,40.62452,-74.03091,52,4.5,italian,ny
Risotteria Melotti NYC,40.726673363853,-73.9880919456482,310,4.5,italian,ny
Codino,40.7300643486969,-74.0037936652668,64,4.0,italian,ny
Pizza Secret,40.6808,-73.97764,99,4.5,italian,ny
Mama Rao Cucina Italiana,40.6291809,-74.0057526,195,4.5,italian,ny
Old Rose,40.7383,-74.00932,116,3.5,italian,ny
Positano Restaurant,40.6127378,-74.0339271,355,4.5,italian,ny
Gino's Restaurant,40.63,-74.02274,624,4.0,italian,ny
La Mela Ristorante,40.719907,-73.997294,756,3.5,italian,ny
Amici Ristorante,40.71981,-73.99722,8,4.5,italian,ny
LAVO,40.76283,-73.9713,1011,3.5,italian,ny
Bread & Tulips,40.74215,-73.98472,265,4.0,italian,ny
Peasant,40.72171,-73.99428,677,3.5,italian,ny
Santina,40.739618,-74.008443,645,3.5,italian,ny
Zagara Ristorante Italiano,40.743835,-73.996088,195,4.0,italian,ny
Giorgio's of Gramercy,40.7394209879325,-73.9885425567627,731,4.0,italian,ny
Paul's On Times Square,40.75522,-73.98539,301,4.0,italian,ny
Lincoln Ristorante,40.773359006218,-73.9835011005249,563,4.0,italian,ny
Ristoro Del Cinghiale,40.74221,-73.98361,47,4.0,italian,ny
Villa Mosconi,40.72859,-74.002,191,4.0,italian,ny
Tiella,40.7606782444803,-73.9612435559085,185,4.0,italian,ny
The Meatball Shop,40.7651804928198,-73.9874866666706,350,4.0,italian,ny
Pepe Rosso To Go,40.72723,-74.00163,359,4.0,italian,ny
Sola LAB,40.7101544250353,-74.005482,24,4.0,italian,ny
Coco Pazzo,40.72596,-74.00143,94,4.0,italian,ny
ViceVersa,40.7635858415079,-73.9866799425418,248,4.0,italian,ny
Ecco,40.715129,-74.008865,138,4.0,italian,ny
Mama Maria's Restaurant,40.68356,-73.99517,118,4.0,italian,ny
Hearth,40.730006,-73.983225,708,4.0,italian,ny
Barca,40.6288650963294,-74.0735902287378,84,4.5,italian,ny
Polpette 71,40.77668,-73.97888,138,4.0,italian,ny
Fabbrica Restaurant & Bar,40.7197876739018,-73.9625863349716,266,3.5,italian,ny
Veniero's,40.72941,-73.98454,2000,4.0,italian,ny
Gruppo,40.72474,-73.98161,249,4.0,italian,ny
L'Amico NYC,40.747174,-73.989956,420,3.5,italian,ny
Max,40.71688,-74.00835,440,3.5,italian,ny
Terra Wine Bar,40.71928,-74.00647,362,3.5,italian,ny
Caffe dei Fiori,40.76935,-73.9627,75,4.5,italian,ny
10 Corso Como,40.707053,-74.00278,70,4.0,italian,ny
Fermento,40.6917733468969,-73.9399936793105,46,4.5,italian,ny
