Name,Latitude,Longitude,Votes,Rating,Type
Pho Binh,29.781788,-95.390205,390,4.0,indian
The Union Kitchen,29.7057177104364,-95.4420052760595,535,3.5,indian
Champ Burger,29.7496832,-95.3404681,198,4.5,indian
Melange Creperie,29.783904,-95.398147,425,4.0,indian
Java Lava Brew,29.7274883509414,-95.3855465153081,199,4.5,indian
Del Frisco's Double Eagle Steakhouse,29.7399776,-95.4638549,721,4.0,indian
The Empanada Company,29.8152729773746,-95.4460131931082,84,4.5,indian
Carniceria Aguascalientes,29.70036,-95.27753,107,4.5,indian
Pepper Twins,29.731742,-95.417754,210,4.0,indian
Samurai Noodle,29.7764846,-95.4112293,626,4.0,indian
Calle Onze,29.79043,-95.39974,347,4.0,indian
Barnaby's Cafe,29.7633117622313,-95.3622356746475,130,4.0,indian
Doris Metropolitan,29.740215,-95.410475,200,4.5,indian
Unos P'nches Tacos,29.8041456666703,-95.3778756782413,204,4.5,indian
Thai Cafe,29.76335,-95.36025,84,4.5,indian
Frank's Pizza,29.761395,-95.362598,763,4.0,indian
BuffBurger,29.738828,-95.399186,227,4.0,indian
Barbecue Inn,29.82854,-95.40036,278,4.0,indian
Cafe#13,29.74512,-95.37747,31,4.5,indian
Mint Thai Kitchen,29.76011,-95.39857,143,4.0,indian
Eddie V's Prime Seafood,29.7402734338612,-95.4190848558197,618,4.5,indian
Nom Mi Street,29.72768,-95.36291,167,4.5,indian
Biggio's,29.7540775490537,-95.3578174860361,329,3.0,indian
Local Poke,29.7707245653136,-95.4067248478532,177,5.0,indian
The Blue Fish,29.7620117022974,-95.3664868883606,840,4.0,indian
Puebla's Mexican Kitchen,29.808234,-95.389334,179,4.5,indian
The Boot,29.803425,-95.420311,311,3.5,indian
Common Bond Cafe & Bakery,29.7071605,-95.4122665,92,4.0,indian
Down the Street,29.7791897838263,-95.4260782798443,269,4.0,indian
Maison Pucha Bistro,29.78922,-95.3881,225,4.0,indian
Tex-Chick Puertorrican Restaurant,29.74833,-95.38934,109,4.0,indian
Night Heron,29.7357217,-95.399477,120,4.0,indian
Vic & Anthony's Steakhouse,29.7570194980525,-95.3581523895264,876,4.0,indian
Ouzo Bay,29.742318,-95.453565,96,3.5,indian
Doshi House,29.7326252,-95.3662922,363,4.5,indian
Green Seed Vegan,29.7303089346866,-95.3765309942689,609,4.0,indian
Fainmous BBQ,29.66818,-95.4637,287,4.0,indian
Nara Express,29.747424155181,-95.3706633785736,416,4.0,indian
Kura Revolving Sushi Bar,29.7396381,-95.3788745,310,4.0,indian
Fajitas A Go Go,29.7237821167041,-95.4189620912075,326,4.0,indian
Patrenella's,29.76912,-95.4021,347,4.0,indian
Platypus Brewing,29.768207,-95.377465,185,4.0,indian
Izakaya WA,29.7524467617111,-95.4097392389107,101,4.5,indian
The Hot Bagel Shop,29.747719835001,-95.4103392342872,567,4.5,indian
Asia Market Thai Restaurant,29.80392,-95.368171,244,4.0,indian
Pepper Twins,29.7530888020992,-95.40378279984,282,4.0,indian
Wings of Houston,29.744284,-95.3861231,26,3.5,indian
Oh My Gogi!,29.7164422761895,-95.414836290213,527,4.0,indian
STUFF'd Wings,29.7012771,-95.3650802,42,3.5,indian
Voodoo Queen Daiquiri Dive,29.747526,-95.337898,179,4.0,indian
TASTE SICHUAN BISTRO,29.741696,-95.462977,10,5.0,indian
Treebeards,29.75947,-95.36097,31,4.5,indian
EggHaus Gourmet,29.80414,-95.42722,355,4.0,indian
Torchy's Tacos,29.7439741087109,-95.4106315819274,1350,4.0,indian
Bayou City Seafood and Pasta,29.7325683,-95.4575265,448,4.0,indian
Sticky's Chicken,29.77018,-95.38161,75,4.0,indian
J & J Lounge,29.7819691,-95.3363037,19,4.0,indian
Pappas Seafood House,29.739089,-95.4102888,202,4.0,indian
Da Marco,29.74313,-95.397814,324,4.0,indian
Tout Suite,29.7586713680944,-95.3505267137113,1423,3.5,indian
Pepper Tree,29.7324851,-95.438713,446,4.0,indian
The Halal Guys,29.7097897,-95.4020403,75,4.5,indian
Escalante's,29.7412227,-95.4472044,286,3.5,indian
Pappasito's Cantina,29.751495697002,-95.3606378552088,344,3.0,indian
Original Pinoy Meals,29.6932126,-95.4150577,5,5.0,indian
Bloom & Bee,29.75134,-95.45705,194,3.5,indian
Roka Akor - Houston,29.7387,-95.44081,339,4.5,indian
Breaking Bao,29.7165161,-95.4163528,29,4.5,indian
La Vibra Tacos,29.779766,-95.3985646,121,4.0,indian
Bistro Menil,29.73824,-95.39844,279,3.5,indian
Saigon Smoke,29.802491,-95.3816657,17,5.0,indian
Nickel Sandwich Grill,29.77669,-95.3148,58,4.0,indian
Burganic Hub,29.73733533,-95.4763745,93,4.5,indian
Doberman's Bar & Grill,29.76731,-95.40966,183,4.5,indian
Maggiano's Little Italy,29.74507,-95.460509,634,3.5,indian
Barnaby's Cafe,29.7482437315525,-95.3884293703781,310,4.0,indian
M&M Hamburger,29.738089,-95.305643,45,4.5,indian
Henderson & Kane,29.76597,-95.37954,56,5.0,indian
#1 Chicken Rice & Seafood,29.72796,-95.37673,149,4.0,indian
Phil & Derek's,29.74439,-95.36553,447,3.5,indian
