Name,Latitude,Longitude,Votes,Rating,Type
Taqueria Diana,40.71424,-73.95568,67,4.0,mexican
jajaja,40.71684,-73.96197,3,4.5,mexican
Ponche Taqueria & Cantina,40.76319,-73.99045,490,4.0,mexican
Javelina,40.7694,-73.95816,86,3.5,mexican
Cantina Royal,40.7175416270346,-73.9634865865082,241,3.5,mexican
The Garret Nolita,40.719724744789,-73.9950288411429,10,4.0,mexican
Otto's Tacos,40.7802999,-73.95312,169,4.0,mexican
Domo Taco,40.673587499494,-73.9567834196103,185,3.5,mexican
Mi Tierra Restaurant,40.6751313899333,-73.9601259960482,36,4.0,mexican
The Deep End,40.6944210364308,-73.9022258678353,32,4.5,mexican
Fatty Daddy Taco,40.669172,-73.986665,353,4.0,mexican
Tacos Times Square,40.7417320336149,-73.9823354903991,108,4.0,mexican
Habanero Cafe Mexican Grill,40.70058,-73.94408,57,3.5,mexican
Empellón Taqueria,40.7341219,-74.0030294,697,3.5,mexican
Casa Mezcal,40.7179602,-73.9902328,392,3.5,mexican
Citrico,40.6768903036116,-73.9635266537943,207,4.0,mexican
Juquila Kitchen and Bar,40.7532,-73.93436,98,4.0,mexican
Fast and Fresh Burrito Deli,40.68806,-73.98694,177,4.0,mexican
Blue Agave,40.6330902,-74.0268565,227,4.0,mexican
Taquitos Mexico,40.6230108591414,-74.0011579838332,200,4.0,mexican
Gonzalez y Gonzalez,40.7261303289736,-73.9972339217213,459,3.5,mexican
Pulqueria,40.71448,-73.99819,477,3.5,mexican
Flats Fix,40.74073,-73.98839,109,4.0,mexican
Vamos Al Tequila,40.73079,-73.95753,283,3.5,mexican
Homemade Taqueria,40.7546939084048,-73.9165629007979,337,4.0,mexican
Azumma,40.71897,-74.00102,15,4.0,mexican
Oaxaca Taqueria,40.68634,-73.954767,162,3.5,mexican
Taco Dumbo,40.750297,-73.991708,98,4.0,mexican
Papatzul,40.722148,-74.003677,415,3.5,mexican
Taqueria Downtown,40.7162,-74.04451,1698,4.0,mexican
Tacos Times Square,40.76253,-73.97671,104,4.0,mexican
Pequena,40.6868452,-73.9747352,324,3.5,mexican
Tacos Los Poblanos,40.643196,-74.012781,37,4.5,mexican
Fajitas Sunrise,40.7002830505371,-73.8988723754883,155,3.5,mexican
Restaurant  Taqueria El Maguey,40.652107,-74.006272,33,4.5,mexican
Taco Santana,40.7079186820012,-73.9554587596491,149,4.0,mexican
Pedro's Mexican Bar & Restaurant,40.702526,-73.98647,482,2.5,mexican
The King Of Taco,40.7601063,-73.8779181,131,4.0,mexican
Noche De Margaritas,40.7801018,-73.9497833,347,4.0,mexican
Leslie's Kitchen,40.70136,-73.92663,33,4.5,mexican
Los Portales,40.7631768211379,-73.9282260153443,259,4.0,mexican
Hotel Tortuga,40.73239,-73.98545,498,3.5,mexican
Mojave,40.7753290076368,-73.9119911693115,709,3.5,mexican
Dos Toros,40.70253,-74.01333,17,3.5,mexican
Tacos Lokos 4ever,40.711607,-73.946425,25,4.0,mexican
Don Panchito,40.7154074225537,-73.9603268362965,49,4.0,mexican
Great Burrito,40.7428322,-73.9930115,242,4.0,mexican
Carniceria,40.7100952311239,-73.9520365428969,2,5.0,mexican
QDOBA Mexican Eats,40.6986599,-73.91835,35,4.0,mexican
Hungry Burrito,40.72164,-73.93835,15,4.0,mexican
El Rio Grande,40.748074661455,-73.976690081965,615,3.5,mexican
Reyes Deli & Grocery,40.66731,-73.99162,211,4.5,mexican
The Great Burrito,40.78333,-73.97796,276,4.0,mexican
Taqueria Maria and Ricardo,40.63906,-73.96926,66,4.5,mexican
Los Tacos City Habanero,40.7440144504923,-73.9537688118532,29,4.5,mexican
The Burrito Spot - Brooklyn,40.67473,-73.99802,22,4.0,mexican
Oaxaca Taqueria,40.7601356506348,-73.992057800293,105,4.0,mexican
Taqueria Sofia,40.7000869,-73.9257427,113,4.0,mexican
Benny's Burritos,40.7380740387279,-74.002123778491,754,3.5,mexican
The Brothers Cafe,40.74607,-73.924109,94,4.5,mexican
Taqueria Santa Fe,40.76319,-73.87492,119,4.0,mexican
‘ritas,40.7633331939511,-73.9887996051015,20,4.0,mexican
Cilantro,40.784629,-73.973121,423,3.5,mexican
BK Taco Factory,40.699987,-73.921334,13,4.5,mexican
Don Pancho Villa Restaurant,40.7109108,-73.9528503,223,4.0,mexican
Las Margaritas,40.6333399,-74.02719,210,4.0,mexican
Castro's Restaurant,40.6938559,-73.964426,268,3.5,mexican
La Flor,40.74434,-73.91141,232,4.0,mexican
Dos Toros Taqueria,40.73062,-74.0023,284,3.5,mexican
La Flaca,40.7165,-73.98763,343,3.5,mexican
El Tenampa,40.662425336259,-73.9963044612931,85,4.5,mexican
Taqueria El Gallo Azteca,40.63842,-74.07867,111,4.5,mexican
Evelia’s Tamales,40.7493562,-73.8691189,7,5.0,mexican
Oaxaca Taqueria,40.7453117370605,-73.9795227050781,120,3.5,mexican
Evodio's Place,40.6913531760712,-73.9687436216104,3,4.5,mexican
Skinny's Cantina,40.7457158661738,-73.9563131306885,463,3.0,mexican
Maya Fusion Cafe,40.68601,-73.9116,30,4.5,mexican
ERT - El Rico Tinto Restaurant,40.7546065,-73.8930553,31,5.0,mexican
Mole,40.73822,-74.00524,428,3.5,mexican
Taco Bar,40.727023,-73.9918770865082,67,3.5,mexican
West End Taqueria,40.795549,-73.973394,43,4.5,mexican
Lucy's Cantina Royale,40.751757506263,-73.9928958215327,686,2.5,mexican
El Tepeyac Mexican Food,40.789737,-73.94786,25,4.5,mexican
Los Tres Chiflados,40.645497,-73.958364,88,4.0,mexican
Jalapeno King,40.660274,-73.994125,77,4.0,mexican
Tijuana Picnic,40.7207634,-73.9873657,302,3.0,mexican
Dos Toros Taqueria,40.75352,-73.97418,174,3.5,mexican
El Toro Blanco,40.72902,-74.00277,392,3.5,mexican
Lobo Loco,40.6235482129985,-74.0310907468305,282,3.0,mexican
Malinche Mexican Restaurant,40.663583,-73.951128,7,4.5,mexican
Papi's Grill,40.67212,-73.97704,82,4.0,mexican
Calexico - Union Street,40.684151,-74.0025404,253,3.5,mexican
Taqueria Meza,40.7330017,-74.002915,294,3.5,mexican
Guacamole Mexican Restaurant,40.79515,-73.9698,140,3.5,mexican
Casa Mexicana,40.7989892,-73.966955,189,4.0,mexican
Taqueria La Placita Puebla,40.699081,-73.93946,50,4.0,mexican
Móle,40.718819,-73.963455,284,3.0,mexican
Mezquite Restaurant,40.76167,-73.9109,257,4.0,mexican
La Gringa Bar and Grill,40.723475,-73.868923,220,4.0,mexican
Don Pepe Tortas & Jugos,40.651194,-74.004387,89,4.0,mexican
Homemade Taqueria,40.7279658,-73.8921686,275,4.0,mexican
Taqueria Diana,40.75652,-73.99371,200,3.5,mexican
Maria's Bistro Mexicano,40.651542,-74.003982,245,3.5,mexican
Vote For Pedro Tequila & Tacos,40.75725,-73.96808,90,4.0,mexican
Juquila Mexican Cuisine,40.74727,-73.88318,161,4.0,mexican
Fusion HK Bar and Grill,40.76347,-73.99231,107,4.0,mexican
Mariachi's,40.715751,-74.010219,233,3.5,mexican
Cascabel Taqueria,40.7743636,-73.9539916,395,3.5,mexican
Oaxaca Taqueria,40.688233,-73.986593,83,3.0,mexican
Common Ground,40.7395,-74.00726,103,3.0,mexican
Cielito Lindo Bistro,40.6745053,-73.9498836,12,4.0,mexican
Nacho Macho Taco,40.69646,-73.91388,28,4.5,mexican
El Paso Taqueria,40.787296295166,-73.9528121948242,218,3.0,mexican
The Haab,40.740273,-73.917675,177,4.0,mexican
Canyon Road Grill,40.770694,-73.953774,236,3.5,mexican
Howlin' Taco,40.695,-73.90433,6,4.5,mexican
Cinco de Mayo Restaurant,40.639881,-73.96688,209,4.0,mexican
Xochitl Taqueria,40.6823211397652,-73.9608860896543,148,3.5,mexican
El Aguila,40.790573,-73.947715,190,4.0,mexican
Maizal Restaurant & Tequila Bar,40.759331,-73.926035,295,4.0,mexican
Adobe Blues,40.643234,-74.095314,269,4.0,mexican
El Burrito Nacho,40.68465,-73.91406,54,4.0,mexican
Elora's Mexican and Spanish Food,40.6584854125977,-73.9823989868164,212,3.5,mexican
Jalapeños,40.6408689715014,-74.0147714348883,41,4.0,mexican
Oaxaca Taqueria,40.7054473656225,-74.0083641817509,75,3.0,mexican
Tacos El Dorado,40.6542699,-73.95942,19,4.5,mexican
Sidewalk Tacos,40.7284088,-73.9996719,29,4.0,mexican
Arriba Arriba Midtown,40.7641288111074,-73.9882850646973,874,3.5,mexican
Tacos Y Jugos Genesis,40.7435971734647,-73.8868284970522,119,4.0,mexican
La Esquina Del Camaron Mexicano,40.74721,-73.88557,37,4.5,mexican
Mallenche Mexican Grill,40.64911,-73.96427,89,4.0,mexican
Mi Espiguita Taqueria,40.7612033639422,-73.9261436462402,113,4.5,mexican
Dos Toros Taqueria,40.7607084122727,-73.9784675091505,80,4.0,mexican
Made In Mexico Harlem,40.7940072130959,-73.9402346313,105,3.5,mexican
El Diablo Taco Truck,40.7156147733261,-73.9521074295044,69,4.0,mexican
Blockheads,40.79024,-73.97274,244,3.5,mexican
Mexico Lindo Restaurant,40.73981,-73.97984,244,3.5,mexican
Baby Bo's Cantina,40.74514,-73.97598,609,3.5,mexican
Dos Toros Taqueria,40.7175893,-73.9579096,145,3.5,mexican
Puebla,40.717988,-73.988314,22,3.5,mexican
Rancho Tequileria,40.763717,-73.989189,273,3.5,mexican
Gina Mexicana,40.763456,-73.966753,147,3.0,mexican
Pablito's Taqueria,40.660156,-73.994186,55,4.0,mexican
El Cantinero,40.73364,-73.99324,534,3.0,mexican
Tacoria,40.721858,-74.044181,116,4.5,mexican
Abuela Antonia Mexican Restaurant,40.67499,-73.91091,6,4.5,mexican
Border Burrito,40.71403,-73.96147,24,4.0,mexican
Dos Toros Taqueria,40.739847,-73.986326,134,3.5,mexican
El Centro Cantina,40.76593,-73.98675,42,4.0,mexican
Las Margaritas Restaurant & Bar,40.70541,-73.89673,58,4.0,mexican
The Whiskey Annex,40.721141,-73.956733,9,4.0,mexican
Nuevo Mexico Bar & Restaurant,40.667476,-73.987365,243,3.5,mexican
Tajin,40.70772,-74.01356,228,3.5,mexican
Dos Toros Taqueria,40.75468,-73.99214,63,3.5,mexican
Taco Bandito,40.7474763497109,-73.9971551748688,201,3.5,mexican
Haab,40.71099,-73.94707,182,3.5,mexican
Las Delicias Mexicanas,40.79735,-73.94009,63,4.0,mexican
Quesadillas Doña Maty,40.7972183,-73.9390182,46,4.0,mexican
St James Deli,40.75843584113,-73.9247259526577,86,4.5,mexican
La Mesita Restaurant,40.6992569,-73.9152222,79,4.0,mexican
Uno Mas,40.75966,-73.94356,3,4.5,mexican
Orale Mexican Kitchen,40.720536,-74.042976,1054,4.0,mexican
La Palapa,40.727969,-73.985604,683,3.5,mexican
San Loco,40.7210575087845,-73.987348174211,258,3.5,mexican
Tamale Lady,40.750843,-73.9801865,3,4.5,mexican
