Name,Address,Votes,Rating,cost,Longitude,Latitude,Category,City
"Enoteca Rossa
                                    ", 4566 Bissonnet Street 77401,Cuisines: ,,Cost for two:$45,,,Italian,Houston
"Papa Amadeus
                                    "," 25602 Interstate 45 N, Suite 101 77386",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Amici Ristorante Italiano
                                    ", 709 West Parkwood Avenue 77546,Cuisines: ,,Cost for two:$75,,,Italian,Houston
"Mario's Italian
                                    ", 628 Seawall Boulevard 77550,85 votes,4,Cost for two:$75,,,Italian,Houston
"Carmine's Italian Restaurant
                                    "," 15407 Texas 36, Needville 77461",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Little Napoli Italian Cuisine
                                    ", 540 Texas Street. 77002,",",3.6,Cost for two:$75,,,Italian,Houston
"Wine Cellar & Mezza Bar
                                    "," 540 Texas Avenue, Houston 77002",Cuisines: ,,Cost for two:$65,,,Italian,Houston
"Mona Fresh Italian
                                    ", 19355 Katy Fwy #500,Cuisines: ,,Cost for two:$15,,,Italian,Houston
"Tosca Americana
                                    "," 18321 W Lake Houston Parkway, suite 540 77346",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"La Fresca Pizza
                                    ", 5300 N Braeswood Boulevard 77096,Cuisines: ,,Cost for two:$15,,,Italian,Houston
"Domino's Pizza
                                    ", 9451 Cullen Boulevard Ste A,",",,Cost for two:$20,,,Italian,Houston
"Peter Piper Pizza
                                    "," 3471 E Sam Houston Pkwy S, Pasadena 77505",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Shiloh Club
                                    "," 1321 Studewood Street, Houston 77008",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"People's Choice Pizza
                                    "," 7072 FM 1960 Rd E, Humble 77346",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Houston Pizza Venture
                                    "," 2800 Marina Bay Dr, League City 77573",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Marco's Pizza
                                    ", 12810 West. Broadway Street,Cuisines: ,,Cost for two:$20,,,Italian,Houston
"Pizza Fire
                                    "," 9814 Fry Rd, Suite 120, Cypress 77433",Cuisines: ,,Cost for two:$25,,,Italian,Houston
"Big Ben's Pizzeria
                                    "," 5431 Barker Cypress Rd, Houston 77084",Cuisines: ,,Cost for two:$75,,,Italian,Houston
"Pizzaiolo's Gourmet Pizza
                                    ", 18304 FM 1488 RD Magnolia 77354,Cuisines: ,,Cost for two:$25,,,Italian,Houston
