Name,Address,Votes,Rating,cost,Longitude,Latitude
"Nicky Pizza
                                    "," 5376 65th Place, Maspeth 11378",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9005025,40.7292549
"Gino's Cucina & Brick Oven Pizza
                                    "," 723 Washington Avenue, Brooklyn, NY 11238",Cuisines: ,"
                                        -
                                    ",Cost for two:$25,-73.9630985,40.6751683
"J&B Yummy pizza
                                    "," 5507 5th Avenue, Brooklyn, NY 11220",Cuisines: ,"
                                        -
                                    ",Cost for two:$10,-74.013223,40.6419884
"Slices Of Brooklyn
                                    "," 549 Kings Highway, Brooklyn, NY 11233",Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-73.9689975,40.6047902
"Piecasso
                                    "," 7908 Cooper Avenue, Queens, NY",Cuisines: ,"
                                        -
                                    ",Cost for two:$40,-73.8725298,40.7079193
"Papas Fried Chicken And Pizza Inc
                                    "," 2919B Surf Avenue, Brooklyn, NY 11224",Cuisines: ,"
                                        -
                                    ",Cost for two:$30,-73.9955964,40.5729923
"Amici Pizza
                                    ", 6309 Amboy Road 10309,Cuisines: ,"
                                        -
                                    ",Cost for two:$15,-74.2161345,40.5235741
"Benny's Brick Oven Pizza
                                    "," 4001 13th Avenue, Brooklyn",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9868022,40.63988579999999
"Gotham Pizza
                                    "," 1443 York Avenue, New York 10075",Cuisines: ,"
                                        -
                                    ",Cost for two:$20,-73.9517182,40.7700137
"Rizzo Bakery
                                    "," 208 Central Ave, Jersey City 07307",6 votes,"
                                        3.4
                                    ",Cost for two:$5,-74.05206609999999,40.7416644
"New Pizza On The Block
                                    ", 6415 Park Avenue 07093,4 votes,"
                                        3.2
                                    ",Cost:$$$$,-74.006027,40.7894429
"Bella Italia Pizzeria
                                    "," 2111 Bergenline Ave, Union City 07087",5 votes,"
                                        3.3
                                    ",Cost:$$$$,-74.0336241,40.7661887
